"","Account_status","Duration","Credit_history","Purpose","Credit_amount","Savings_bonds","Present_employment_since","Installment_rate","Other_debtors_guarantors","Resident_since","Property","Age","Other_installment_plans","Housing","Existing_credits","Job","People_maintenance_for","Telephone","Foreign_worker","Credit_risk","Gender"
"132","< 0 DM",36,"delay in paying off in the past","education",6887,"< 100 DM","1  <= ... < 4 years",4,"none",3,"building society savings agreement / life insurance",29,"stores","own",1,"skilled employee / official",1,"yes","yes",0,"Female"
"133","no checking account",15,"existing credits paid back duly till now","furniture / equipment",2708,"< 100 DM","< 1 year",2,"none",3,"building society savings agreement / life insurance",27,"bank","own",2,"unskilled - resident",1,"none","yes",1,"Female"
"134","no checking account",18,"existing credits paid back duly till now","furniture / equipment",1984,"< 100 DM","1  <= ... < 4 years",4,"none",4,"unknown / no property",47,"bank","for free",2,"skilled employee / official",1,"none","yes",1,"Female"
"135","no checking account",60,"existing credits paid back duly till now","radio / television",10144,"100 <= ... <  500 DM","4  <= ... < 7 years",2,"none",4,"real estate",21,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"136","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",1240,"unknown / no savings account",">= 7 years",4,"none",2,"real estate",38,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Male"
"137","no checking account",27,"delay in paying off in the past","car (used)",8613,">= 1000 DM","1  <= ... < 4 years",2,"none",2,"car or other",27,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"138","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",766,"500 <= ... < 1000 DM","1  <= ... < 4 years",4,"none",3,"real estate",66,"none","own",1,"unskilled - resident",1,"none","yes",0,"Female"
"139","0 < ... <  200 DM",15,"critical account / other credits existing (not at this bank)","radio / television",2728,"unknown / no savings account","4  <= ... < 7 years",4,"guarantor",2,"real estate",35,"bank","own",3,"skilled employee / official",1,"yes","yes",1,"Female"
"140",">= 200 DM",12,"existing credits paid back duly till now","radio / television",1881,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",44,"none","rent",1,"unskilled - resident",1,"yes","yes",1,"Male"
"141",">= 200 DM",6,"existing credits paid back duly till now","car (new)",709,">= 1000 DM","< 1 year",2,"none",2,"real estate",27,"none","own",1,"unemployed / unskilled  - non-resident",1,"none","no",1,"Female"
"142","0 < ... <  200 DM",36,"existing credits paid back duly till now","radio / television",4795,"< 100 DM","< 1 year",4,"none",1,"unknown / no property",30,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Male"
"143","< 0 DM",27,"existing credits paid back duly till now","radio / television",3416,"< 100 DM","1  <= ... < 4 years",3,"none",2,"car or other",27,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","yes",1,"Female"
"144","< 0 DM",18,"existing credits paid back duly till now","furniture / equipment",2462,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",22,"none","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"145","no checking account",21,"critical account / other credits existing (not at this bank)","furniture / equipment",2288,"< 100 DM","< 1 year",4,"none",4,"building society savings agreement / life insurance",23,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"146","0 < ... <  200 DM",48,"all credits at this bank paid back duly","business",3566,"100 <= ... <  500 DM","4  <= ... < 7 years",4,"none",2,"car or other",30,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"147","< 0 DM",6,"critical account / other credits existing (not at this bank)","car (new)",860,"< 100 DM",">= 7 years",1,"none",4,"unknown / no property",39,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Male"
"148","no checking account",12,"critical account / other credits existing (not at this bank)","car (new)",682,"100 <= ... <  500 DM","4  <= ... < 7 years",4,"none",3,"car or other",51,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Male"
"149","< 0 DM",36,"critical account / other credits existing (not at this bank)","furniture / equipment",5371,"< 100 DM","1  <= ... < 4 years",3,"guarantor",2,"building society savings agreement / life insurance",28,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"150","no checking account",18,"critical account / other credits existing (not at this bank)","radio / television",1582,">= 1000 DM",">= 7 years",4,"none",4,"car or other",46,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"151","no checking account",6,"existing credits paid back duly till now","radio / television",1346,"100 <= ... <  500 DM",">= 7 years",2,"none",4,"unknown / no property",42,"bank","for free",1,"skilled employee / official",2,"yes","yes",1,"Female"
"152","no checking account",10,"existing credits paid back duly till now","radio / television",1924,"< 100 DM","1  <= ... < 4 years",1,"none",4,"building society savings agreement / life insurance",38,"none","own",1,"skilled employee / official",1,"yes","no",1,"Female"
"153",">= 200 DM",36,"existing credits paid back duly till now","radio / television",5848,"< 100 DM","1  <= ... < 4 years",4,"none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"154","0 < ... <  200 DM",24,"critical account / other credits existing (not at this bank)","car (used)",7758,">= 1000 DM",">= 7 years",2,"none",4,"unknown / no property",29,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Male"
"155","0 < ... <  200 DM",24,"delay in paying off in the past","business",6967,"100 <= ... <  500 DM","4  <= ... < 7 years",4,"none",4,"car or other",36,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"156","< 0 DM",12,"existing credits paid back duly till now","furniture / equipment",1282,"< 100 DM","1  <= ... < 4 years",2,"none",4,"car or other",20,"none","rent",1,"skilled employee / official",1,"none","yes",0,"Male"
"157","< 0 DM",9,"critical account / other credits existing (not at this bank)","repairs",1288,"100 <= ... <  500 DM",">= 7 years",3,"guarantor",4,"real estate",48,"none","own",2,"skilled employee / official",2,"none","no",1,"Female"
"158","< 0 DM",12,"all credits at this bank paid back duly","retrainin",339,"< 100 DM",">= 7 years",4,"none",1,"car or other",45,"bank","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"159","0 < ... <  200 DM",24,"existing credits paid back duly till now","car (new)",3512,"100 <= ... <  500 DM","4  <= ... < 7 years",2,"none",3,"car or other",38,"bank","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"160","no checking account",6,"critical account / other credits existing (not at this bank)","radio / television",1898,"unknown / no savings account","1  <= ... < 4 years",1,"none",2,"real estate",34,"none","own",2,"unskilled - resident",2,"none","yes",1,"Female"
"161","no checking account",24,"critical account / other credits existing (not at this bank)","radio / television",2872,"100 <= ... <  500 DM",">= 7 years",3,"none",4,"real estate",36,"none","own",1,"skilled employee / official",2,"yes","yes",1,"Female"
"162","no checking account",18,"critical account / other credits existing (not at this bank)","car (new)",1055,"< 100 DM","< 1 year",4,"none",1,"building society savings agreement / life insurance",30,"none","own",2,"skilled employee / official",1,"none","yes",1,"Male"
"163","no checking account",15,"existing credits paid back duly till now","domestic appliances",1262,"500 <= ... < 1000 DM","4  <= ... < 7 years",4,"none",3,"building society savings agreement / life insurance",36,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"164","0 < ... <  200 DM",10,"existing credits paid back duly till now","car (new)",7308,"< 100 DM","unemployed",2,"none",4,"unknown / no property",70,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"165","no checking account",36,"existing credits paid back duly till now","car (new)",909,"500 <= ... < 1000 DM",">= 7 years",4,"none",4,"building society savings agreement / life insurance",36,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"166","no checking account",6,"existing credits paid back duly till now","furniture / equipment",2978,"500 <= ... < 1000 DM","1  <= ... < 4 years",1,"none",2,"car or other",32,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"167","< 0 DM",18,"existing credits paid back duly till now","furniture / equipment",1131,"< 100 DM","unemployed",4,"none",2,"car or other",33,"none","own",1,"skilled employee / official",1,"none","yes",0,"Male"
"168","0 < ... <  200 DM",11,"existing credits paid back duly till now","furniture / equipment",1577,">= 1000 DM","< 1 year",4,"none",1,"real estate",20,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"169","no checking account",24,"existing credits paid back duly till now","furniture / equipment",3972,"< 100 DM","4  <= ... < 7 years",2,"none",4,"building society savings agreement / life insurance",25,"none","rent",1,"skilled employee / official",1,"yes","yes",1,"Male"
"170","0 < ... <  200 DM",24,"critical account / other credits existing (not at this bank)","business",1935,"< 100 DM",">= 7 years",4,"none",4,"real estate",31,"none","own",2,"skilled employee / official",1,"yes","yes",0,"Female"
"171","< 0 DM",15,"no credits taken / all credits paid back duly","car (new)",950,"< 100 DM",">= 7 years",4,"none",3,"car or other",33,"none","rent",2,"skilled employee / official",2,"none","yes",0,"Female"
"172","no checking account",12,"existing credits paid back duly till now","furniture / equipment",763,"< 100 DM","1  <= ... < 4 years",4,"none",1,"real estate",26,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"173","0 < ... <  200 DM",24,"delay in paying off in the past","furniture / equipment",2064,"< 100 DM","unemployed",3,"none",2,"building society savings agreement / life insurance",34,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Male"
"174","0 < ... <  200 DM",8,"existing credits paid back duly till now","radio / television",1414,"< 100 DM","1  <= ... < 4 years",4,"guarantor",2,"real estate",33,"none","own",1,"skilled employee / official",1,"none","no",1,"Female"
"175","< 0 DM",21,"delay in paying off in the past","education",3414,"< 100 DM","< 1 year",2,"none",1,"building society savings agreement / life insurance",26,"none","own",2,"skilled employee / official",1,"none","yes",0,"Female"
"176","no checking account",30,"all credits at this bank paid back duly","car (used)",7485,"unknown / no savings account","unemployed",4,"none",1,"real estate",53,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Male"
"177","< 0 DM",12,"existing credits paid back duly till now","furniture / equipment",2577,"< 100 DM","1  <= ... < 4 years",2,"none",1,"car or other",42,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"178","< 0 DM",6,"critical account / other credits existing (not at this bank)","radio / television",338,"500 <= ... < 1000 DM",">= 7 years",4,"none",4,"car or other",52,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"179","no checking account",12,"existing credits paid back duly till now","radio / television",1963,"< 100 DM","4  <= ... < 7 years",4,"none",2,"car or other",31,"none","rent",2,"management / self-employed / highly qualified employee / officer",2,"yes","yes",1,"Female"
"180","< 0 DM",21,"critical account / other credits existing (not at this bank)","car (new)",571,"< 100 DM",">= 7 years",4,"none",4,"real estate",65,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"181","no checking account",36,"delay in paying off in the past","business",9572,"< 100 DM","< 1 year",1,"none",1,"car or other",28,"none","own",2,"skilled employee / official",1,"none","yes",0,"Female"
"182","0 < ... <  200 DM",36,"delay in paying off in the past","business",4455,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",30,"stores","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Female"
"183","< 0 DM",21,"all credits at this bank paid back duly","car (new)",1647,"unknown / no savings account","1  <= ... < 4 years",4,"none",2,"building society savings agreement / life insurance",40,"none","own",2,"unskilled - resident",2,"none","yes",0,"Female"
